"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Zbigniew ZIEJEWSKI - nr na liście 1";"Piotr ŻUCHOWSKI - nr na liście 2";"Dariusz FREJNIK - nr na liście 3";"Edward Mieczysław PIETRULEWICZ - nr na liście 4";"Paweł SZAKIEWICZ - nr na liście 5";"Małgorzata Dorota SOWICKA - nr na liście 6";"Monika Barbara MARCHALEWSKA - nr na liście 7";"Robert Jan HUSZCZA - nr na liście 8";"Katarzyna GRANACKA - nr na liście 9";"Andrzej Janusz WIŚNIEWSKI - nr na liście 10";"Anetta Krystyna SŁOMCZYŃSKA-KĄDZIOŁKA - nr na liście 11";"Wioletta JASKÓLSKA - nr na liście 12";"Adam Jacek ŻYLIŃSKI - nr na liście 13";"Ewa NISIEWICZ - nr na liście 14";"Krzysztof GROBLEWSKI - nr na liście 15";"Stanisław ŻELICHOWSKI - nr na liście 16";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Leonard Seweryn KRASULSKI - nr na liście 1";"Jerzy Zbigniew WILK - nr na liście 2";"Zbigniew BABALSKI - nr na liście 3";"Marcin KAZIMIERCZUK - nr na liście 4";"Monika Anna MODZELEWSKA-KOZIOŁ - nr na liście 5";"Damian Jan GODZIŃSKI - nr na liście 6";"Paweł Andrzej KOWSZYŃSKI - nr na liście 7";"Adam OŁDAKOWSKI - nr na liście 8";"Anna WĘGŁOWSKA - nr na liście 9";"Karolina Ewa GOIK - nr na liście 10";"Anna PIĄTEK - nr na liście 11";"Grażyna KAMIŃSKA - nr na liście 12";"Jolanta Wiesława ANDRUSZKIEWICZ - nr na liście 13";"Robert GONTARZ - nr na liście 14";"Grzegorz KIEROZALSKI - nr na liście 15";"Jacek Roman PAWLIK - nr na liście 16";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Monika Walentyna FALEJ - nr na liście 1";"Andrzej Jan ZIELONKA - nr na liście 2";"Emilia BARTKOWSKA - nr na liście 3";"Ryszard KLIM - nr na liście 4";"Daniel Adrian ZDANOWSKI - nr na liście 5";"Sylwia PIEKART - nr na liście 6";"Janusz PASJAK - nr na liście 7";"Jakub Przemysław GIEREJ - nr na liście 8";"Robert KOLIŃSKI - nr na liście 9";"Milena FALKOWSKA-HOJAN - nr na liście 10";"Piotr PACYNO - nr na liście 11";"Urszula Klara PĄGOWSKA - nr na liście 12";"Wincenty Marian PRZYBOROWSKI - nr na liście 13";"Mirosław Józef SZULC - nr na liście 14";"Paweł WÓJCIK - nr na liście 15";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Andrzej Piotr WYRĘBEK - nr na liście 1";"Kaja Ewelina SZYNKIELEWSKA - nr na liście 2";"Krystian Maciej ŁOŻYŃSKI - nr na liście 3";"Tomasz Jacek KACZKOWSKI - nr na liście 4";"Marek HUL - nr na liście 5";"Agnieszka Maria POŁEĆ - nr na liście 6";"Teresa Genowefa RUKSZTEŁŁO - nr na liście 7";"Marika ZENOWICZ - nr na liście 8";"Genowefa Grażyna SZCZEPAŃSKA - nr na liście 9";"Marek CHRAPAN - nr na liście 10";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Jacek PROTAS - nr na liście 1";"Bernadeta Justyna HORDEJUK - nr na liście 2";"Elżbieta Kazimiera GELERT - nr na liście 3";"Piotr CIEŚLIŃSKI - nr na liście 4";"Ewa Barbara DEMBEK - nr na liście 5";"Katarzyna KRÓLAK - nr na liście 6";"Marian JANICKI - nr na liście 7";"Leszek Jan DZIĄG - nr na liście 8";"Elżbieta ZABŁOCKA - nr na liście 9";"Antoni CZYŻYK - nr na liście 10";"Ryszard KOWALSKI - nr na liście 11";"Krystyna JANCZEWSKA - nr na liście 12";"Marek BORKOWSKI - nr na liście 13";"Angelika Jolanta DOMAŃSKA - nr na liście 14";"Łukasz PIŚKIEWICZ - nr na liście 15";"Miron SYCZ - nr na liście 16";"Lista nr 8 - KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Wojciech Adam PENKALSKI - nr na liście 1";"Agnieszka FALKOWSKA - nr na liście 2";"Stanisław Czesław JASINA - nr na liście 3";"Agnieszka Anna KUCIŃSKA - nr na liście 4";"Krzysztof KĘPIŃSKI - nr na liście 5";"Anita KOWALSKA - nr na liście 6";"Tomasz ORŁOWSKI - nr na liście 7";"Monika Marcjanna LEWANDOWSKA - nr na liście 8";"Jarosław DREWA - nr na liście 9";"Jolanta KWAŚNIEWSKA - nr na liście 10";"Piotr Roman BANACH - nr na liście 11";"Ryszard NAŁĘCZ - nr na liście 12";"Anna ŁOŻYŃSKA - nr na liście 13";"Mariusz Wojciech ZAORSKI - nr na liście 14";"Anna SYCZ - nr na liście 15"
"30a2-d41c-162c-6eda-f55c-6f7b-bc9b-8ba7";"280101";"34";"1";"miasto";"stały";"Bartoszycki Dom Kultury, ul. Boh. Warszawy 11, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1499";"1510";"660";"839";"1";"15";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"15";"12";"3";"0";"824";"41";"12";"2";"1";"2";"1";"1";"0";"12";"1";"1";"0";"2";"1";"0";"0";"5";"302";"22";"8";"10";"28";"1";"1";"1";"183";"2";"1";"8";"0";"26";"1";"2";"8";"103";"40";"10";"5";"1";"1";"2";"29";"0";"1";"2";"0";"2";"1";"1";"8";"54";"36";"6";"1";"3";"3";"2";"0";"2";"0";"1";"309";"108";"1";"9";"23";"3";"2";"1";"2";"90";"0";"1";"1";"2";"1";"2";"63";"15";"0";"1";"0";"5";"0";"2";"0";"0";"1";"1";"0";"1";"2";"0";"2"
"a244-0d41-e9c6-d3da-4c70-5f04-20c4-ce61";"280101";"34";"2";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 1, ul. Nowowiejskiego 31, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1753";"1874";"668";"1085";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1085";"0";"0";"1085";"11";"10";"1";"0";"1074";"69";"12";"4";"4";"2";"1";"3";"0";"28";"1";"0";"0";"9";"2";"1";"0";"2";"413";"35";"30";"10";"39";"1";"1";"1";"194";"4";"3";"11";"0";"69";"3";"0";"12";"131";"54";"17";"6";"2";"2";"2";"27";"0";"3";"1";"1";"1";"1";"1";"13";"47";"23";"1";"2";"6";"2";"7";"1";"2";"2";"1";"391";"110";"1";"7";"41";"2";"1";"1";"1";"172";"1";"1";"1";"1";"0";"0";"51";"23";"3";"2";"0";"3";"1";"0";"2";"1";"1";"5";"0";"1";"0";"0";"4"
"a2b3-763e-8649-9bab-9193-6024-d5e1-be51";"280101";"34";"3";"miasto";"stały";"Sala gimnastyczna Szkoła Podstawowa Nr 1, ul. Mierosławskiego 1, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1873";"2026";"721";"1152";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1152";"0";"0";"1152";"24";"19";"5";"0";"1128";"61";"7";"4";"1";"0";"3";"5";"1";"24";"2";"0";"0";"5";"2";"1";"1";"5";"451";"32";"17";"7";"60";"8";"0";"1";"261";"4";"1";"5";"8";"38";"2";"0";"7";"166";"60";"15";"7";"1";"1";"2";"60";"1";"0";"2";"2";"1";"0";"0";"14";"45";"27";"1";"0";"2";"4";"5";"0";"2";"0";"4";"382";"123";"1";"5";"23";"1";"0";"0";"0";"144";"0";"1";"0";"2";"4";"1";"77";"23";"5";"1";"2";"1";"2";"0";"3";"1";"0";"1";"0";"1";"0";"0";"6"
"a64e-146b-2c72-ebdf-9318-e26a-d346-fd91";"280101";"34";"4";"miasto";"stały";"Filia Miejskiej Biblioteki Publicznej, ul. Ogrodowa 1a, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1574";"1723";"502";"1072";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1072";"0";"0";"1072";"20";"18";"2";"0";"1052";"62";"14";"3";"1";"2";"0";"5";"2";"19";"0";"0";"0";"4";"1";"2";"0";"9";"461";"19";"10";"5";"81";"7";"3";"1";"266";"3";"1";"3";"3";"51";"1";"1";"6";"107";"31";"14";"6";"0";"5";"4";"30";"0";"1";"1";"2";"1";"0";"1";"11";"46";"17";"2";"1";"6";"1";"3";"3";"5";"6";"2";"355";"120";"4";"9";"23";"0";"1";"1";"0";"135";"1";"1";"0";"1";"0";"0";"59";"21";"3";"2";"1";"2";"0";"1";"3";"0";"1";"1";"0";"2";"0";"0";"5"
"fa9b-edbe-3433-ede3-14d5-6474-27a6-31f0";"280101";"34";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Traugutta 23, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1556";"1630";"748";"808";"0";"7";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"12";"7";"5";"0";"796";"59";"5";"8";"3";"2";"2";"1";"2";"17";"0";"1";"0";"6";"0";"0";"1";"11";"291";"26";"7";"6";"46";"1";"0";"0";"151";"1";"1";"3";"0";"35";"0";"0";"14";"97";"39";"6";"6";"1";"1";"3";"24";"2";"1";"1";"0";"1";"0";"0";"12";"45";"27";"3";"3";"5";"2";"2";"1";"0";"1";"1";"289";"112";"1";"8";"16";"0";"0";"0";"0";"93";"0";"0";"1";"0";"1";"0";"57";"15";"1";"3";"0";"0";"0";"1";"1";"3";"0";"1";"0";"0";"0";"0";"5"
"822a-08b5-8910-8f8a-adfa-2354-c003-315b";"280101";"34";"6";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych Nr 2, ul. Słowackiego 1, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1816";"1966";"702";"1114";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1114";"0";"0";"1114";"16";"15";"1";"0";"1098";"73";"12";"5";"1";"3";"3";"0";"2";"26";"2";"1";"1";"4";"0";"6";"1";"6";"375";"39";"15";"4";"34";"5";"0";"5";"191";"3";"1";"5";"3";"58";"3";"0";"9";"164";"65";"15";"10";"2";"4";"1";"47";"1";"0";"0";"1";"2";"0";"2";"14";"45";"23";"7";"4";"0";"6";"3";"1";"0";"1";"0";"416";"172";"1";"13";"19";"1";"3";"0";"1";"130";"1";"0";"0";"4";"2";"0";"69";"25";"8";"1";"0";"1";"0";"1";"0";"2";"0";"5";"0";"1";"1";"1";"4"
"8536-3095-1c1b-372b-7291-1e15-65f7-104d";"280101";"34";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Andrzeja Witolda Wajdy 18, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1717";"1853";"608";"1109";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1109";"0";"0";"1109";"12";"6";"6";"0";"1097";"78";"13";"9";"6";"1";"2";"5";"2";"22";"0";"1";"2";"8";"0";"1";"1";"5";"396";"34";"9";"7";"49";"3";"0";"1";"216";"4";"0";"9";"1";"45";"1";"3";"14";"136";"52";"17";"12";"0";"1";"3";"24";"0";"0";"2";"0";"0";"0";"0";"25";"45";"21";"4";"4";"1";"1";"6";"0";"3";"3";"2";"424";"170";"1";"12";"25";"2";"1";"0";"0";"132";"0";"0";"0";"1";"1";"2";"77";"18";"2";"1";"1";"1";"1";"0";"0";"0";"0";"4";"1";"3";"0";"0";"4"
"fe0d-a9b1-d68c-21d6-98ff-68ad-9778-f4d7";"280101";"34";"8";"miasto";"stały";"Przedszkole Integracyjne Nr 4, ul. Generała Bema 49, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"2110";"2247";"833";"1277";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1277";"0";"0";"1277";"19";"12";"7";"0";"1258";"74";"10";"4";"3";"0";"6";"4";"0";"28";"2";"0";"0";"6";"3";"3";"0";"5";"522";"46";"13";"17";"42";"5";"2";"2";"252";"4";"1";"3";"4";"119";"0";"0";"12";"127";"43";"20";"6";"3";"3";"1";"33";"3";"3";"0";"0";"2";"0";"2";"8";"61";"38";"4";"3";"3";"7";"2";"0";"2";"1";"1";"446";"120";"3";"16";"31";"1";"0";"0";"1";"180";"0";"0";"0";"3";"0";"0";"91";"28";"1";"3";"0";"3";"1";"1";"0";"5";"0";"2";"2";"2";"0";"0";"8"
"f4e8-7332-f9ac-9320-ecac-2ec7-d227-e0b2";"280101";"34";"9";"miasto";"stały";"Sala gimnastyczna Szkoła Podstawowa Nr 7, ul. Generała Bema 35, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"438";"470";"166";"272";"0";"4";"0";"0";"0";"0";"0";"0";"0";"272";"0";"0";"272";"3";"2";"1";"0";"269";"13";"0";"0";"0";"0";"1";"0";"0";"9";"1";"0";"0";"1";"0";"0";"0";"1";"122";"13";"4";"1";"10";"1";"0";"0";"61";"0";"0";"0";"4";"27";"0";"0";"1";"25";"10";"2";"0";"0";"0";"2";"2";"2";"0";"0";"0";"0";"0";"0";"7";"16";"9";"0";"0";"0";"0";"0";"0";"3";"4";"0";"90";"29";"0";"5";"7";"0";"1";"0";"1";"38";"0";"0";"0";"0";"0";"0";"9";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"9ee6-f744-3aef-8b11-c0a2-f551-5249-157f";"280101";"34";"10";"miasto";"stały";"Mała sala gimnastyczna Szkoła Podstawowa Nr 7 w Bartoszycach, ul. Generała Bema 35, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1760";"1847";"646";"1114";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1114";"0";"0";"1114";"8";"6";"2";"0";"1106";"68";"11";"5";"0";"1";"1";"1";"2";"31";"1";"1";"0";"3";"3";"3";"0";"5";"422";"14";"5";"9";"51";"5";"2";"0";"207";"4";"1";"6";"5";"94";"0";"0";"19";"128";"38";"16";"11";"3";"3";"1";"38";"0";"2";"0";"2";"1";"1";"1";"11";"68";"43";"6";"0";"5";"2";"4";"0";"4";"3";"1";"404";"129";"3";"12";"30";"2";"0";"0";"0";"159";"1";"0";"0";"0";"2";"0";"66";"16";"3";"2";"0";"2";"0";"0";"2";"0";"0";"3";"1";"0";"0";"0";"3"
"635d-3ea8-c7ed-18ed-297d-5d76-3bea-7f6a";"280101";"34";"11";"miasto";"stały";"Szkoła Podstawowa Nr 8 z UJN, ul. Leśna 1, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"798";"884";"290";"508";"2";"36";"0";"0";"0";"0";"0";"0";"0";"508";"0";"0";"508";"6";"5";"1";"0";"502";"34";"7";"1";"0";"1";"1";"1";"1";"11";"0";"1";"1";"2";"1";"0";"0";"6";"178";"10";"4";"6";"43";"1";"1";"0";"82";"1";"1";"2";"2";"21";"2";"0";"2";"65";"28";"3";"6";"0";"1";"3";"10";"0";"0";"2";"0";"1";"0";"0";"11";"20";"10";"4";"0";"1";"0";"1";"2";"0";"1";"1";"196";"65";"1";"7";"20";"1";"0";"0";"2";"44";"0";"0";"0";"0";"0";"0";"56";"9";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"5"
"c59e-f90c-82a8-2c57-b229-fc70-cd88-057f";"280101";"34";"12";"miasto";"zakład leczniczy";"Szpital Powiatowy w Bartoszycach, ul. Kardynała Wyszyńskiego 11, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"120";"139";"94";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"1";"1";"0";"0";"25";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"14";"2";"2";"0";"1";"1";"0";"0";"7";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"aae6-85a9-96e8-9944-1a7d-ef6d-f86d-39ec";"280101";"34";"13";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Boh. Monte Cassino 4, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"53";"69";"32";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"21";"3";"1";"2";"0";"18";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"13";"1";"1";"2";"3";"2";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"7a6e-db0e-0434-1f46-2593-3898-9cb7-0e00";"280102";"34";"1";"miasto";"stały";"Ośrodek Kultury, Kościuszki 26, 11-220 Górowo Iławeckie";"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"1448";"1572";"577";"871";"2";"2";"0";"0";"0";"0";"0";"0";"0";"871";"0";"0";"871";"7";"7";"0";"0";"864";"42";"7";"8";"3";"2";"4";"4";"1";"5";"0";"2";"0";"3";"1";"0";"0";"2";"269";"40";"27";"19";"33";"1";"3";"0";"67";"5";"2";"4";"6";"32";"1";"2";"27";"72";"29";"8";"3";"1";"2";"5";"0";"0";"1";"1";"1";"1";"0";"1";"19";"32";"16";"3";"0";"4";"0";"5";"1";"0";"0";"3";"420";"96";"0";"3";"13";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"304";"29";"3";"1";"1";"0";"0";"1";"2";"0";"0";"4";"3";"1";"0";"1";"12"
"197f-2032-236a-9d36-47c0-726e-e8f0-6470";"280102";"34";"2";"miasto";"stały";"Sala gimnastyczna Szkoły Podstawowej, Generała Sikorskiego 22, 11-220 Górowo Iławeckie";"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"1556";"1645";"711";"845";"1";"5";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"19";"18";"1";"0";"826";"40";"12";"3";"1";"0";"6";"3";"0";"4";"0";"1";"0";"3";"1";"3";"0";"3";"281";"37";"31";"25";"37";"11";"2";"0";"74";"1";"0";"15";"4";"27";"1";"0";"16";"78";"32";"7";"2";"0";"3";"1";"7";"1";"1";"1";"0";"1";"2";"0";"20";"39";"19";"7";"4";"2";"2";"3";"1";"0";"0";"1";"370";"88";"1";"3";"6";"0";"1";"0";"0";"7";"0";"1";"0";"1";"0";"0";"262";"18";"1";"0";"0";"0";"1";"2";"0";"1";"1";"4";"2";"1";"0";"1";"4"
"30af-20a9-7e82-048a-430f-bbf6-34f8-5b40";"280103";"34";"1";"wieś";"stały";"Młodzieżowy Dom Kultury w Bartoszycach, ul. Boh. Warszawy 6, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1591";"1705";"760";"831";"0";"7";"0";"0";"0";"0";"0";"0";"0";"831";"0";"0";"831";"17";"15";"2";"0";"814";"88";"14";"2";"1";"1";"2";"2";"3";"56";"2";"0";"0";"0";"1";"2";"0";"2";"351";"19";"0";"6";"20";"2";"1";"1";"191";"4";"0";"4";"1";"91";"2";"1";"8";"77";"30";"10";"7";"1";"1";"2";"14";"0";"1";"0";"2";"2";"1";"3";"3";"41";"23";"3";"3";"3";"3";"2";"0";"1";"1";"2";"242";"112";"0";"10";"27";"0";"2";"0";"0";"47";"0";"0";"0";"0";"0";"0";"44";"15";"5";"1";"0";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"4"
"6731-6223-4e0e-e387-b75d-92de-cad8-d5ae";"280103";"34";"2";"wieś";"stały";"Dom Kultury w Bezledach, Bezledy 47, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1067";"1144";"478";"589";"2";"0";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"13";"12";"1";"0";"576";"40";"7";"2";"2";"1";"3";"4";"1";"12";"2";"0";"0";"5";"0";"0";"0";"1";"334";"30";"13";"32";"14";"0";"1";"4";"162";"1";"0";"2";"3";"67";"2";"0";"3";"33";"14";"5";"2";"0";"1";"3";"1";"0";"1";"0";"0";"0";"0";"1";"5";"42";"27";"1";"1";"3";"3";"5";"2";"0";"0";"0";"113";"44";"1";"7";"9";"3";"0";"1";"0";"20";"0";"1";"0";"2";"0";"0";"25";"14";"1";"0";"3";"1";"0";"0";"1";"1";"0";"1";"0";"4";"0";"0";"2"
"cae8-866f-b6f3-baa0-fda3-ca8a-6289-16f6";"280103";"34";"3";"wieś";"stały";"Świetlica Wiejska, Galiny 36, 11-214 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1353";"1478";"658";"695";"2";"6";"0";"0";"0";"0";"0";"0";"0";"695";"0";"0";"695";"12";"12";"0";"0";"683";"95";"11";"1";"1";"0";"2";"5";"2";"43";"1";"0";"6";"13";"0";"1";"0";"9";"330";"22";"9";"9";"13";"1";"1";"4";"133";"5";"0";"2";"1";"90";"0";"2";"38";"52";"22";"9";"4";"0";"1";"0";"4";"1";"0";"0";"0";"0";"1";"0";"10";"56";"34";"1";"2";"2";"2";"7";"0";"6";"0";"2";"141";"64";"0";"1";"9";"1";"2";"0";"0";"31";"0";"0";"0";"1";"0";"0";"32";"9";"1";"0";"1";"0";"0";"2";"1";"0";"0";"1";"2";"0";"0";"0";"1"
"62e5-1243-c30e-fa4d-c75b-cef4-80d5-a374";"280103";"34";"4";"wieś";"stały";"Świetlica Wiejska w Kinkajmach, Kinkajmy 16C, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"578";"624";"294";"284";"0";"14";"0";"0";"0";"0";"0";"0";"0";"284";"0";"0";"284";"8";"7";"1";"0";"276";"22";"7";"1";"2";"1";"0";"1";"1";"9";"0";"0";"0";"0";"0";"0";"0";"0";"141";"0";"5";"2";"4";"1";"2";"1";"110";"0";"1";"1";"1";"8";"0";"1";"4";"21";"15";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"21";"10";"2";"5";"0";"1";"3";"0";"0";"0";"0";"62";"24";"0";"0";"5";"1";"2";"0";"0";"13";"0";"1";"0";"1";"1";"0";"14";"9";"1";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"2"
"e27c-d23b-6375-553e-1234-7056-5c28-e27f";"280103";"34";"5";"wieś";"stały";"Dom Kultury w Łabędniku, Łabędnik 11, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"907";"1009";"500";"407";"0";"7";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"13";"12";"1";"0";"394";"50";"10";"1";"0";"0";"4";"1";"0";"29";"0";"1";"1";"1";"0";"0";"0";"2";"212";"8";"6";"1";"6";"0";"1";"0";"142";"2";"0";"0";"1";"42";"0";"0";"3";"17";"7";"2";"1";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"2";"21";"9";"3";"1";"0";"1";"4";"0";"1";"1";"1";"82";"23";"0";"1";"8";"0";"3";"1";"0";"14";"0";"0";"1";"2";"0";"0";"29";"12";"2";"0";"0";"1";"0";"0";"0";"0";"1";"4";"0";"3";"0";"0";"1"
"05c6-44f6-899b-c0db-8524-aa28-20e6-86d7";"280103";"34";"6";"wieś";"stały";"Dom Kultury w Rodnowie, Rodnowo 10, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"567";"622";"298";"269";"0";"3";"0";"0";"0";"0";"0";"0";"0";"269";"0";"0";"269";"9";"7";"2";"0";"260";"83";"10";"3";"0";"1";"1";"0";"1";"65";"0";"0";"0";"0";"0";"1";"0";"1";"109";"10";"6";"4";"2";"0";"0";"0";"53";"1";"0";"0";"0";"26";"0";"0";"7";"8";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"6";"3";"0";"0";"0";"0";"1";"0";"1";"0";"1";"49";"24";"0";"1";"2";"2";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"14";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1"
"f011-ef60-7785-7508-0159-6ac5-b427-8cbe";"280103";"34";"7";"wieś";"stały";"Gminny Ośrodek Kultury w Tolko, Tolko 1, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"677";"727";"365";"312";"0";"1";"0";"0";"0";"0";"0";"0";"0";"312";"0";"0";"312";"15";"10";"5";"0";"297";"38";"7";"3";"0";"0";"0";"1";"0";"23";"1";"1";"0";"1";"0";"1";"0";"0";"162";"15";"3";"3";"2";"3";"2";"1";"82";"1";"0";"2";"0";"43";"0";"0";"5";"30";"10";"4";"4";"0";"1";"0";"6";"0";"0";"1";"0";"0";"0";"1";"3";"12";"10";"1";"0";"0";"1";"0";"0";"0";"0";"0";"53";"21";"0";"2";"7";"0";"0";"1";"2";"9";"0";"0";"0";"0";"0";"0";"11";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
