"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Tomasz SIEMONIAK - nr na liście 1";"Izabela Katarzyna MRZYGŁOCKA - nr na liście 2";"Monika WIELICHOWSKA - nr na liście 3";"Tomasz Daniel SZUSZWALAK - nr na liście 4";"Tomasz Łukasz MITRASZEWSKI - nr na liście 5";"Teresa ŚWIŁO - nr na liście 6";"Rafał Mariusz GLAPIŃSKI - nr na liście 7";"Andrzej Ryszard INGLOT - nr na liście 8";"Mateusz ROSIAK - nr na liście 9";"Paweł ONYŚKÓW - nr na liście 10";"Zbigniew SZCZYGIEŁ - nr na liście 11";"Jędrzej Maciej ŚWIERCZYŃSKI - nr na liście 12";"Małgorzata Urszula BEŚLERZEWSKA - nr na liście 13";"Jacek Julian IWANCZ - nr na liście 14";"Joanna Maria BEN AMARA - nr na liście 15";"Marta Magdalena TUMIDALSKA - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Roman ŁAMBUCKI - nr na liście 1";"Karol MICHALIK - nr na liście 2";"Damian Marcin DANIELAK - nr na liście 3";"Krzysztof Adam KRYSTYNIAK - nr na liście 4";"Anna Agnieszka PRZEŚLICA-MARTYNOWSKA - nr na liście 5";"Krystyna Maria SUSŁOWSKA - nr na liście 6";"Angelika Agnieszka WIELICZKO - nr na liście 7";"Przemysław Mateusz SZACHNIEWICZ - nr na liście 8";"Marzena Emilia OLEKSY-SARYSZ - nr na liście 9";"Kamil Sebastian ŁOSIAK - nr na liście 10";"Damian Rafał GOMÓŁKA - nr na liście 11";"Piotr LUDKOWSKI - nr na liście 12";"Katarzyna NOWAK - nr na liście 13";"Andrzej MORKA - nr na liście 14";"Ewa Jadwiga OKARMUS - nr na liście 15";"Stanisław POKRYWKA - nr na liście 16";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Paweł Jarosław GANCARZ - nr na liście 1";"Józef KOŁT - nr na liście 2";"Ewa Daniela KWIATKOWSKA - nr na liście 3";"Magdalena Dorota KUCZEK - nr na liście 4";"Jarosław Jerzy RUDNICKI - nr na liście 5";"Joanna Bogna BONIECKA - nr na liście 6";"Maria SOKOŁOWSKA - nr na liście 7";"Wacław Alojzy DZIENDZIEL - nr na liście 8";"Paweł Mariusz MAZUR - nr na liście 9";"Jarosław Marian UBIK - nr na liście 10";"Danuta Maria WIERZBICKA-BARA - nr na liście 11";"Sylwia Edyta KOWALSKA - nr na liście 12";"Izabela Maria KARCH - nr na liście 13";"Natalia Weronika SULIKOWSKA - nr na liście 14";"Radosław KYCIA - nr na liście 15";"Stanisław Tadeusz LONGAWA - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Michał Paweł DWORCZYK - nr na liście 1";"Ireneusz ZYSKA - nr na liście 2";"Wojciech Piotr MURDZEK - nr na liście 3";"Maciej Adam BADORA - nr na liście 4";"Marcin Piotr GWÓŹDŹ - nr na liście 5";"Zuzanna BIELAWSKA - nr na liście 6";"Renata Lucyna SURMA - nr na liście 7";"Beata Maria MUCHA - nr na liście 8";"Jerzy Grzegorz DEC - nr na liście 9";"Jarosław WĘGŁOWSKI - nr na liście 10";"Bogusław Krzysztof SZPYTMA - nr na liście 11";"Małgorzata Joanna GREINER - nr na liście 12";"Marek TARNACKI - nr na liście 13";"Ewelina Agnieszka SZYDŁOWSKA - nr na liście 14";"Renata Teresa WIERZBICKA - nr na liście 15";"Grzegorz Sławomir GRZEGORZEWICZ - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Marek DYDUCH - nr na liście 1";"Mariusz KOTARBA - nr na liście 2";"Kornelia Joanna LECH - nr na liście 3";"Adam Edward ŁĄCKI - nr na liście 4";"Małgorzata Aleksandra MUSIAŁEK - nr na liście 5";"Wiktor Piotr ZALEŃSKI - nr na liście 6";"Cecylia Agnieszka CHOJNACKA - nr na liście 7";"Tomasz Paweł WOLAK - nr na liście 8";"Renata CHUĆ - nr na liście 9";"Jolanta Izabela SŁABICKA - nr na liście 10";"Agnieszka Beata HABIERA-GÓRSKA - nr na liście 11";"Dominik HÜPNER - nr na liście 12";"Robert Aleksy CZAJKOWSKI - nr na liście 13";"Janusz Tomasz SOŁTYSIK - nr na liście 14";"Maciej Grzegorz ZABORONEK - nr na liście 15";"Anna Ewa STABROWSKA - nr na liście 16";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Anatol Kazimierz SZPUR - nr na liście 1";"Julian Kazimierz GOLAK - nr na liście 2";"Iwona Kornela MICHAŃCIO - nr na liście 3";"Robert Artur SZYMKIEWICZ - nr na liście 4";"Marzanna Irena LESZCZYŃSKA - nr na liście 5";"Katarzyna Joanna GABRIEL - nr na liście 6";"Agnieszka Joanna IGNOR - nr na liście 7";"Sebastian HAŁACZKIEWICZ - nr na liście 8";"Sylwia Małgorzata BIELAWSKA - nr na liście 9";"Grażyna Izabela ŚWITOŃ-PAWLICKA - nr na liście 10";"Wojciech LATUSZEK - nr na liście 11";"Ewa Lucyna TUTKA - nr na liście 12";"Joanna Agata CHOJNACKA - nr na liście 13";"Artur Sławomir ŁATA - nr na liście 14";"Liczba obwodów"
"020201";"gmina miejska";"m. Bielawa";"dzierżoniowski";"dolnośląskie";21971;23936;9028;12938;10;64;0;0;0;0;0;0;0;12942;0;1;12941;186;127;59;0;12755;3474;1910;233;180;32;746;41;9;18;38;8;20;176;25;5;8;25;725;338;71;28;17;19;14;27;46;3;8;94;3;17;5;3;32;901;221;22;57;23;429;12;15;28;20;6;13;15;3;16;5;16;5264;2892;253;98;50;114;303;81;88;40;32;13;1090;18;72;53;67;1856;769;166;90;29;88;17;36;16;21;19;31;11;472;16;6;69;535;46;21;10;17;19;11;11;286;74;2;3;6;11;18;22
"020202";"gmina miejska";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";23857;26022;8360;15497;26;64;3;3;0;0;0;0;3;15501;3;3;15498;157;101;56;0;15341;4638;2167;241;196;35;1725;44;17;20;38;14;21;49;20;11;14;26;811;298;68;24;21;17;19;24;57;11;4;196;6;19;5;8;34;2044;183;32;36;26;1623;19;13;35;20;3;19;10;3;10;3;9;5908;4029;306;194;54;175;312;47;125;128;49;29;106;24;115;94;121;1667;782;262;119;28;93;13;46;23;19;28;79;8;79;17;13;58;273;54;15;14;15;18;20;14;26;38;8;7;11;18;15;23
"020203";"gmina miejsko-wiejska";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";6900;7485;3023;3877;7;25;0;0;0;0;0;0;0;3876;0;0;3876;72;47;25;0;3804;1096;462;64;34;17;457;7;7;4;6;0;9;11;8;2;4;4;225;98;27;8;6;9;7;4;8;5;2;30;2;7;2;2;8;304;91;12;23;8;117;1;5;22;8;1;6;2;1;2;1;4;1766;1253;57;39;16;65;98;29;45;40;13;5;36;5;27;23;15;318;135;43;29;6;18;4;18;9;2;4;11;4;21;4;2;8;95;20;6;14;1;4;6;1;18;11;0;1;2;2;9;9
"020204";"gmina miejska";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";4550;4963;2020;2530;4;5;1;1;0;0;0;0;1;2529;1;0;2529;32;22;10;0;2497;487;214;47;46;4;117;12;2;3;5;7;11;8;4;0;1;6;172;54;15;10;6;4;8;7;7;1;4;35;2;7;4;2;6;290;40;3;5;8;50;0;2;168;2;1;2;3;0;2;1;3;1250;440;24;13;5;34;648;9;11;13;12;0;8;0;6;6;21;240;125;21;24;3;12;4;13;3;1;2;6;6;10;2;5;3;58;15;2;4;4;5;5;1;3;10;0;1;2;3;3;3
"020205";"gmina wiejska";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";6775;7370;2673;4102;4;19;0;0;0;0;0;0;0;4102;0;0;4102;67;46;21;0;4035;809;382;54;49;17;225;21;4;3;16;0;5;4;4;5;4;16;231;92;18;9;4;3;3;11;7;4;6;53;5;8;0;1;7;520;134;27;17;8;202;4;11;30;43;3;3;6;0;23;1;8;2070;1222;108;101;34;139;157;23;55;21;27;9;66;8;19;26;55;336;155;26;30;9;5;1;9;14;11;5;14;2;38;1;2;14;69;17;3;4;5;4;3;1;17;7;2;0;4;1;1;13
"020206";"gmina wiejska";"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";5404;5967;2167;3236;3;14;2;1;0;0;0;0;1;3237;1;0;3237;46;32;14;0;3191;620;306;54;77;8;130;6;1;5;7;4;5;3;4;0;2;8;193;56;14;4;5;4;3;8;58;0;4;17;2;6;2;2;8;297;71;67;14;8;78;7;11;9;3;2;7;3;0;8;2;7;1793;1049;127;40;42;87;85;14;56;32;108;5;14;8;38;28;60;239;113;17;21;6;10;12;8;7;3;7;6;5;8;1;1;14;49;6;2;4;2;4;1;4;5;11;0;0;1;6;3;6
"020207";"gmina miejsko-wiejska";"gm. Niemcza";"dzierżoniowski";"dolnośląskie";4063;4453;1815;2248;6;35;0;0;0;0;0;0;0;2248;0;0;2248;44;29;15;0;2204;494;234;31;39;3;129;7;5;6;2;19;4;4;2;3;1;5;116;48;6;4;2;5;4;5;13;5;0;12;1;3;0;1;7;256;50;13;5;6;117;2;2;45;5;0;1;6;0;2;2;0;1062;487;29;9;10;119;75;9;6;7;261;3;9;2;12;13;11;241;149;17;20;2;12;3;3;5;2;6;6;2;8;2;2;2;35;9;5;5;0;2;2;1;2;2;4;1;0;1;1;6
"020801";"gmina miejska";"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";3759;4089;1269;2490;8;393;0;0;0;0;0;0;0;2490;0;0;2490;27;15;12;0;2463;792;430;51;256;7;1;15;3;2;5;1;3;2;8;3;2;3;164;62;18;10;2;11;7;7;3;1;4;2;0;5;0;2;30;126;46;12;19;7;4;3;5;1;1;1;4;4;8;1;1;9;958;682;38;22;19;26;21;20;9;37;10;37;4;6;5;8;14;364;167;28;33;59;21;3;18;5;2;8;2;3;0;1;0;14;59;15;5;2;5;5;4;4;3;3;5;1;1;3;3;4
"020802";"gmina miejska";"m. Kłodzko";"kłodzki";"dolnośląskie";19812;21449;7375;12437;31;128;1;1;0;0;0;0;1;12438;1;1;12437;154;109;45;0;12283;4318;1270;94;2719;22;21;24;8;19;23;17;25;7;28;3;11;27;633;273;60;33;17;21;14;24;7;8;17;12;4;18;7;2;116;797;204;97;31;93;24;28;21;7;10;58;9;7;6;13;5;184;4558;2815;166;141;79;204;62;197;71;195;15;381;11;26;52;70;73;1742;377;143;59;903;41;6;92;19;10;7;8;12;6;13;5;41;235;36;35;16;18;21;16;15;15;11;9;3;5;19;16;19
"020803";"gmina miejska";"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";7518;8660;2241;5277;13;798;0;0;0;0;0;0;0;5277;0;0;5277;54;33;21;0;5223;1661;894;65;513;11;64;14;10;10;9;5;15;3;21;2;6;19;254;134;21;10;7;15;7;7;2;4;4;11;0;5;1;1;25;383;93;15;15;15;9;10;7;2;9;2;9;9;179;4;1;4;2086;1366;108;34;46;111;68;30;48;64;8;60;8;13;32;19;71;673;342;33;54;115;25;6;17;12;9;15;5;5;7;2;3;23;166;21;7;7;7;9;6;1;14;73;7;3;3;6;2;7
"020804";"gmina miejska";"m. Nowa Ruda";"kłodzki";"dolnośląskie";16475;17742;7314;9161;8;70;1;1;0;0;0;0;1;9160;1;4;9156;99;64;35;0;9057;3557;542;42;2888;9;9;7;8;8;13;1;12;4;3;3;3;5;464;188;46;22;10;14;10;16;13;50;6;20;9;16;5;5;34;430;120;16;33;17;16;16;15;1;13;110;14;9;4;13;6;27;3284;1884;220;54;119;85;63;41;52;474;12;97;11;18;40;46;68;1045;525;163;51;93;39;12;25;28;9;9;13;5;9;9;32;23;277;16;187;6;8;9;3;4;9;8;1;3;6;7;10;14
"020805";"gmina miejska";"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";4904;6120;1076;3828;7;711;0;0;0;0;0;0;0;3826;0;1;3825;45;28;17;0;3780;1407;665;59;578;10;19;13;5;9;9;2;10;1;14;1;4;8;162;64;21;6;2;8;2;8;3;7;5;2;2;8;1;0;23;231;77;13;14;9;12;10;6;4;4;4;3;2;1;5;0;67;1395;914;83;17;10;52;28;73;24;77;5;35;9;10;14;26;18;481;185;54;32;125;11;2;14;9;5;4;2;6;2;3;2;25;104;12;4;9;23;5;1;2;6;5;15;8;5;6;3;4
"020806";"gmina miejsko-wiejska";"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";13892;15253;5393;8499;14;214;0;0;0;0;0;0;0;8499;0;0;8499;160;112;48;0;8339;2183;738;93;942;11;14;7;22;20;18;5;247;6;41;2;5;12;395;177;30;27;13;14;11;10;7;6;18;24;6;14;3;0;35;724;137;367;21;27;13;24;17;9;6;14;10;6;2;12;2;57;4040;1526;160;71;43;49;25;1905;46;47;8;41;9;12;36;23;39;856;332;100;52;148;54;15;43;21;12;7;3;5;2;22;9;31;141;27;6;4;10;24;8;8;8;14;6;5;4;10;7;18
"020807";"gmina wiejska";"gm. Kłodzko";"kłodzki";"dolnośląskie";12361;13526;5344;7017;5;36;1;1;0;0;0;0;1;7018;1;0;7018;129;81;48;0;6889;1446;418;50;870;10;14;10;6;14;12;3;10;1;8;4;5;11;369;160;19;28;14;15;7;12;13;3;6;10;4;9;5;3;61;1059;147;59;19;23;19;76;10;4;28;61;1;4;7;5;2;594;3376;1915;188;74;69;188;71;174;74;187;16;249;12;18;51;47;43;530;145;44;23;179;25;8;44;12;8;8;6;2;3;2;2;19;109;27;13;5;7;5;10;1;6;8;4;5;3;6;9;15
"020808";"gmina miejsko-wiejska";"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";6523;7243;2550;3973;9;474;3;3;0;0;0;0;3;3975;3;0;3975;66;41;25;0;3909;1166;437;44;373;8;12;10;2;230;4;0;25;3;5;2;3;8;241;87;9;6;5;98;2;7;3;5;2;3;0;1;2;2;9;382;70;28;11;10;9;208;2;2;4;5;9;2;2;3;1;16;1627;1049;95;39;20;47;30;133;41;35;12;49;7;6;16;28;20;436;186;41;36;73;25;8;17;8;3;5;2;4;2;5;2;19;57;8;8;2;3;2;1;3;5;5;3;0;3;11;3;8
"020809";"gmina wiejska";"gm. Lewin Kłodzki";"kłodzki";"dolnośląskie";1420;1618;559;861;5;72;0;0;0;0;0;0;0;861;0;0;861;10;1;9;0;851;239;110;15;87;1;2;6;3;4;3;1;0;0;2;2;1;2;53;32;5;5;0;1;4;2;0;0;1;0;1;1;0;0;1;52;19;2;1;1;0;1;1;0;1;2;0;1;15;4;0;4;351;217;15;15;8;22;8;5;10;15;3;9;1;3;6;6;8;127;43;5;8;44;5;1;3;3;2;3;1;0;0;0;2;7;29;10;4;0;1;1;0;0;3;5;0;0;1;2;2;2
"020810";"gmina miejsko-wiejska";"gm. Międzylesie";"kłodzki";"dolnośląskie";5310;5814;2194;3116;2;55;0;0;0;0;0;0;0;3116;0;0;3116;75;61;14;0;3041;886;262;42;444;2;6;5;14;6;15;4;47;2;25;0;6;6;194;58;13;13;6;13;3;6;0;5;55;3;1;2;3;0;13;257;42;118;17;16;1;18;8;3;5;0;2;8;2;6;1;10;1319;711;45;52;35;60;25;265;36;19;6;14;4;6;16;15;10;334;132;30;25;46;23;7;22;4;3;9;3;1;3;8;3;15;51;12;1;5;5;5;0;1;3;1;3;0;2;8;5;9
"020811";"gmina wiejska";"gm. Nowa Ruda";"kłodzki";"dolnośląskie";8507;9279;3716;4791;2;32;0;0;0;0;0;0;0;4791;0;0;4791;85;61;24;0;4706;1453;305;41;1047;2;4;6;6;3;8;1;7;1;5;3;3;11;290;98;27;12;8;6;3;11;2;88;0;6;3;9;0;1;16;308;129;24;18;11;9;6;4;5;15;48;5;5;0;4;2;23;1992;1243;108;32;60;70;43;24;24;233;9;20;6;8;29;30;53;542;248;80;37;47;27;7;21;11;6;7;4;5;2;4;20;16;121;21;61;1;5;7;5;4;2;2;0;0;3;6;4;16
"020812";"gmina miejsko-wiejska";"gm. Radków";"kłodzki";"dolnośląskie";6592;7242;2907;3685;9;90;0;0;0;0;0;0;0;3685;0;0;3685;76;52;24;0;3609;1056;285;19;701;3;3;5;2;5;9;1;6;1;6;1;5;4;233;99;29;14;5;13;5;14;12;8;0;8;2;6;0;2;16;246;101;26;17;5;14;2;11;2;8;6;7;6;3;4;3;31;1706;960;64;22;24;37;48;36;21;381;19;23;9;9;23;19;11;269;118;17;17;33;12;3;15;3;6;17;3;1;3;4;2;15;99;7;33;4;4;7;5;3;9;6;3;3;5;5;5;8
"020813";"gmina miejsko-wiejska";"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";5347;5903;2152;3194;2;145;0;0;0;0;0;0;0;3195;0;1;3194;48;34;14;0;3146;940;403;50;323;6;8;10;6;70;8;2;20;0;15;1;9;9;274;149;7;9;3;51;4;5;0;21;3;2;2;2;1;2;13;274;97;40;14;6;9;53;18;2;5;3;5;3;4;4;2;9;1147;600;76;35;16;61;29;94;40;43;5;42;15;8;23;38;22;444;226;30;16;71;18;8;27;6;5;3;4;5;2;6;1;16;67;13;3;0;5;9;9;2;9;4;2;1;2;3;5;7
"020814";"gmina miejsko-wiejska";"gm. Szczytna";"kłodzki";"dolnośląskie";5292;5819;2224;3067;2;91;0;0;0;0;0;0;0;3067;0;0;3067;42;31;11;0;3025;871;377;48;369;14;5;10;7;8;7;1;9;5;4;1;2;4;238;90;18;21;12;11;5;10;3;7;1;11;3;10;2;1;33;259;47;20;18;11;12;7;21;16;4;2;7;8;18;4;2;62;1234;746;33;25;32;96;35;62;24;63;8;38;7;5;17;15;28;333;132;34;19;79;12;6;20;7;4;2;0;3;3;4;3;5;90;23;6;3;7;6;1;3;3;2;14;2;2;12;6;6
"021901";"gmina miejska";"m. Świdnica";"świdnicki";"dolnośląskie";41091;44345;13175;27915;29;109;8;8;0;0;0;0;8;27915;8;1;27914;257;168;89;0;27657;10137;5372;1394;261;358;125;1127;44;58;96;17;93;34;64;1014;21;59;1691;731;280;70;63;62;33;99;43;41;28;52;18;52;16;45;58;1221;490;42;128;68;79;41;61;28;116;6;21;38;11;36;29;27;9587;4241;1074;2541;146;109;216;108;139;116;56;59;35;55;191;105;396;4512;1628;578;1232;48;159;48;130;57;53;280;38;29;28;24;24;156;509;90;17;36;26;95;27;12;13;36;20;10;35;50;42;25
