"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BARTOSZEK Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SAGATOWSKA Janina Zofia - KW PRAWO I SPRAWIEDLIWOŚĆ";"BURAK Artur Stanisław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa Nr 1, ul. Grunwaldzka 1, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;389;463;145
2;"Szkoła Podstawowa Nr 1, ul. Grunwaldzka 1, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;420;449;121
3;"Szkoła Podstawowa Nr 2, ul. Adama Mickiewicza 51, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;312;390;95
4;"Miejskie Centrum Kultury, ul. Adama Mickiewicza 65, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;349;344;95
5;"Szkoła Podstawowa Nr 2 (byłe Gimnazjum Miejskie)-wejście od sali gimnastycznej, ul. Marii Curie-Skłodowskiej 8, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;270;407;87
6;"Zespół Szkół Technicznych im. Tadeusza Kościuszki-główne wejście do szkoły., ul. Adama Mickiewicza 67, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;382;470;143
7;"Szkoła Podstawowa Nr 3 im. Stefana Wyszyńskiego, ul. 11 Listopada 8, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;321;505;147
8;"Szkoła Podstawowa Nr 3 im. Stefana Wyszyńskiego, ul. 11 Listopada 8, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;199;297;85
9;"Szpital Powiatowy w Leżajsku, ul. Leśna 22, 37-300 Leżajsk";180801;"m. Leżajsk";"leżajski";"podkarpackie";1;1;5;46;2
1;"Zespół Szkół im. Jana Pawła II w Grodzisku Dolnym, Grodzisko Dolne 150, 37-306 Grodzisko Dolne";180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";1;1;191;568;143
2;"Dom Wiejski w Grodzisku Nowym, Grodzisko Nowe 274, 37-306 Grodzisko Dolne";180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";1;1;76;284;49
3;"Szkoła Podstawowa w Chodaczowie, Chodaczów 59A, 37-306 Grodzisko Dolne";180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";1;1;121;304;72
4;"Szkoła Podstawowa w Opaleniskach, Opaleniska 82A, 37-306 Grodzisko Dolne";180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";1;1;145;426;74
5;"Szkoła Podstawowa w Wólce Grodziskiej, Wólka Grodziska 116B, 37-306 Grodzisko Dolne";180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";1;1;64;256;58
6;"Zespół Szkół im. prof. Franciszka Leji w Grodzisku Górnym, Grodzisko Górne 503, 37-306 Grodzisko Dolne";180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";1;1;156;615;121
7;"Ośrodek Kultury w Grodzisku Dolnym, Grodzisko Dolne 332, 37-306 Grodzisko Dolne";180802;"gm. Grodzisko Dolne";"leżajski";"podkarpackie";1;1;112;252;60
1;"Gminny Ośrodek Kultury w Kuryłówce, Kuryłówka 527, 37-303 Kuryłówka";180803;"gm. Kuryłówka";"leżajski";"podkarpackie";1;1;223;458;107
