"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SOBCZYK Danuta Elżbieta - KW PRAWO I SPRAWIEDLIWOŚĆ";"BECK Piotr Roman - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MORAWSKA-STANECKA Gabriela Anna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SWACZYNA Leon - KW ŚLONZOKI RAZEM"
1;"Zespół Szkolno-Przedszkolny Nr 1, ul. Główna 21, 41-503 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;306;111;567;153
2;"Szkoła Podstawowa Nr 24, ul. 17 Sierpnia 1, 41-503 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;162;72;403;129
3;"Zespół Szkół Mistrzostwa Sportowego, ul. Harcerska 2, 41-503 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;355;146;896;194
4;"Szkoła Podstawowa Nr 29, ul. Lwowska 36, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;246;87;664;171
5;"Szkoła Podstawowa Nr 39, ul. 11 Listopada 21, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;209;61;362;116
6;"Szkoła Podstawowa Nr 39, ul. 11 Listopada 21, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;279;83;668;119
7;"Szkoła Podstawowa Nr 39, ul. 11 Listopada 21, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;251;86;484;111
8;"Szkoła Podstawowa Nr 17, ul. Łagiewnicka 18, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;176;72;286;117
9;"Szkoła Podstawowa Nr 17, ul. Łagiewnicka 18, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;279;76;573;137
10;"Szkoła Podstawowa Nr 17, ul. Łagiewnicka 18, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;258;93;527;120
11;"Zespół Szkół Technicznych i Ogólnokształcących Nr 4, ul. św. Piotra 1, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;272;93;416;130
12;"Zespół Szkół Specjalnych Nr 3, ul. 3 Maja 16, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;203;96;342;113
13;"Zespół Szkół Specjalnych Nr 3, ul. 3 Maja 16, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;332;85;520;152
14;"Szkoła Podstawowa Nr 15, ul. 3 Maja 78, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;317;110;683;157
15;"Szkoła Podstawowa Nr 38, ul. Śląska 3, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;328;115;682;158
16;"Szkoła Podstawowa Nr 38, ul. Śląska 3, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;360;110;665;149
17;"Szkoła Podstawowa Nr 38, ul. Śląska 3, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;360;93;707;153
18;"Szkoła Podstawowa Nr 13, ul. dr Wincentego Styczyńskiego 32, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;304;112;459;154
19;"Szkoła Podstawowa Nr 13, ul. dr Wincentego Styczyńskiego 32, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;310;111;533;172
20;"Zespół Szkół Budowlanych, ul. gen. Henryka Dąbrowskiego 53, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;265;61;429;122
21;"Szkoła Podstawowa Nr 1, ul. gen. Henryka Dąbrowskiego 41, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;108;42;252;65
22;"Szkoła Podstawowa Nr 1, ul. gen. Henryka Dąbrowskiego 41, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;246;60;579;108
23;"Zespół Szkół Technicznych Nr 2, ul. Powstańców 6a, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;159;61;337;115
24;"Zespół Szkół Technicznych Nr 2, ul. Powstańców 6a, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;131;65;333;96
25;"Zespół Szkół Technicznych Nr 2, ul. Powstańców 6a, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;129;55;368;97
26;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Ludwika Urbanowicza 2, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;217;80;571;129
27;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Ludwika Urbanowicza 2, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;285;97;707;131
28;"Centrum Integracji Międzypokoleniowej, ul. gen. Henryka Dąbrowskiego 7, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;270;97;628;154
29;"Szkoła Podstawowa Nr 29, ul. Lwowska 36, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;243;107;630;136
30;"Szkoła Podstawowa Nr 5, ul. Józefa Ryszki 55, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;261;102;676;94
31;"Szkoła Podstawowa Nr 5, ul. Józefa Ryszki 55, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;281;94;666;111
32;"Przedszkole Nr 18, ul. ks. Jana Gałeczki 17, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;255;94;599;134
33;"Przedszkole Nr 18, ul. ks. Jana Gałeczki 17, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;237;72;518;101
34;"Zespół Szkół Technicznych Nr 1, ul. Sportowa 23, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;279;99;625;97
35;"Szkoła Podstawowa Nr 21, ul. Wolności 133, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;272;121;530;125
36;"Szkoła Podstawowa Nr 21, ul. Wolności 133, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;247;115;504;158
37;"Centrum Aktywizacji Społecznej, ul. Powstańców 70/3, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;243;74;485;148
38;"Centrum Aktywizacji Społecznej, ul. Powstańców 70/3, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;180;60;288;89
39;"Szkoła Podstawowa Nr 37, ul. Ratuszowa 20, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;229;71;364;147
40;"Szkoła Podstawowa Nr 37, ul. Ratuszowa 20, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;189;60;331;103
41;"Szkoła Podstawowa Nr 37, ul. Ratuszowa 20, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;268;90;612;142
42;"Szkoła Podstawowa Specjalna Nr 33, ul. Dyrekcyjna 3, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;195;82;469;163
43;"Szkoła Podstawowa Nr 34, ul. Kaliny 55, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;174;66;294;112
44;"Szkoła Podstawowa Nr 34, ul. Kaliny 55, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;253;60;431;117
45;"Szkoła Podstawowa Nr 32, ul. Kaliny 61, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;248;80;581;128
46;"III Liceum Ogólnokształcące, ul. Farna 5 - 7, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;224;55;480;107
47;"III Liceum Ogólnokształcące, ul. Farna 5 - 7, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;194;59;384;113
48;"Szkoła Podstawowa Nr 18, ul. ks. Józefa Czempiela 52, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;281;91;536;149
49;"Szkoła Podstawowa Nr 18, ul. ks. Józefa Czempiela 52, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;194;100;479;115
50;"Przedszkole Nr 16 Integracyjne, ul. Brzozowa 9, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;350;93;711;161
51;"Szkoła Podstawowa Nr 12 z Oddziałami Integracyjnymi, ul. Skrajna 2, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;287;105;671;154
52;"Szkoła Podstawowa Nr 12 z Oddziałami Integracyjnymi, ul. Skrajna 2, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;230;119;562;168
53;"Szkoła Podstawowa Nr 12 z Oddziałami Integracyjnymi, ul. Skrajna 2, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;265;100;552;148
54;"Polski Związek Niewidomych Dom Pomocy Społecznej im. Kazimierza Jaworka, ul. Siemianowicka 101, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;36;8;19;12
55;"Dom Pomocy Społecznej św. Wincentego, ul. Powstańców 45, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;19;1;2;4
56;"Dom Pomocy Społecznej „Nadzieja”, ul. Wandy 64, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;5;1;25;2
57;"BETAMED Medical Active Care, ul. Racławicka 20A, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;6;0;10;2
58;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół Szpitali Miejskich, ul. Strzelców Bytomskich 11, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;47;9;52;16
59;"Szpital Specjalistyczny, ul. Zjednoczenia 10, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;25;4;13;5
60;"„AMICUS” sp. z o. o. Zakład Pielęgnacyjno-Opiekuńczy NZOZ, ul. Szpitalna 25, 41-506 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;16;0;7;8
61;"Ośrodek św. Florian Caritas Archidiecezji Katowickiej, ul. Harcerska 3, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;16;8;15;6
62;"Pogodny Dom Seniora, ul. Strzelców Bytomskich 11, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;0;2;2;1
63;"Dom Opieki HONORATA. Zakład Opiekuńczo-Leczniczy, ul. Główna 31, 41-500 Chorzów";246301;"m. Chorzów";"Chorzów";"śląskie";1;1;10;2;18;8
1;"Filia Miejskiego Domu Kultury, ul. Tarnogórska 49, 41-945 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;345;67;420;123
2;"Zespół Szkolno-Przedszkolny Nr 1, ul. Tarnogórska 40, 41-945 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;289;73;381;110
3;"Miejski Ośrodek Sportu i Rekreacji, ul. Olimpijska 3, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;336;102;474;119
4;"Miejska Szkoła Podstawowa Nr 9 z Oddziałami Integracyjnymi im. Gustawa Morcinka, ul. księdza Gerarda Waculika 10, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;557;134;755;152
5;"Miejska Szkoła Podstawowa Nr 9 z Oddziałami Integracyjnymi im. Gustawa Morcinka, ul. księdza Gerarda Waculika 10, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;361;116;583;152
6;"Miejska Szkoła Podstawowa Nr 11, ul. Śląska 8, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;259;71;329;103
7;"Miejska Szkoła Podstawowa Nr 11, ul. Śląska 8, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;304;62;326;92
8;"Miejska Szkoła Podstawowa Nr 11, ul. Śląska 8, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;333;59;422;109
9;"Zespół Szkół Specjalnych, ul. Armii Krajowej 2, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;348;55;352;90
10;"Zespół Szkół Specjalnych, ul. Armii Krajowej 2, 41-943 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;349;62;340;105
11;"Miejska Szkoła Podstawowa Nr 2, ul. Ks. Jerzego Popiełuszki 8, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;439;71;535;134
12;"Miejska Szkoła Podstawowa Nr 2, ul. Ks. Jerzego Popiełuszki 8, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;422;80;567;126
13;"Katolicka Szkoła Podstawowa im. św. Joanny Beretty Molli, ul. Bytomska 207, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;413;128;859;143
14;"Miejska Szkoła Podstawowa Nr 5 im. Wawrzyńca Hajdy, ul. Fryderyka Chopina 11, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;451;103;789;136
15;"Zespół Szkół Techniczno-Zawodowych, ul. Bytomska 81a, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;352;86;582;158
16;"Akademicki Zespół Szkół, ul. Gimnazjalna 24, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;310;67;490;94
17;"Miejska Szkoła Podstawowa Nr 1, ul. Szpitalna 9, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;185;54;203;70
18;"Miejska Szkoła Podstawowa Nr 1, ul. Szpitalna 9, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;245;68;381;97
19;"Miejska Szkoła Podstawowa Nr 12 im. Jana Demarczyka, ul. Związkowa 14, 41-949 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;337;81;461;115
20;"Ośrodek Kultury ""Andaluzja"", ul. Oświęcimska 45, 41-949 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;393;68;362;88
21;"Zespół Szkół Nr 1, ul. Marii Curie-Skłodowskiej 49, 41-949 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;333;72;355;83
22;"Zespół Szkół Nr 1, ul. Marii Curie-Skłodowskiej 49, 41-949 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;299;58;367;77
23;"Miejska Szkoła Podstawowa Nr 13 im. Powstańców Śląskich, ul. Marii Curie-Skłodowskiej 108, 41-949 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;387;75;432;104
24;"Miejska Szkoła Podstawowa Nr 13 im. Powstańców Śląskich, ul. Marii Curie-Skłodowskiej 108, 41-949 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;355;74;535;105
25;"Zespół Szkolno-Przedszkolny Nr 3 w Piekarach Śląskich, ul. Biskupa Herberta Bednorza 29/31, 41-946 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;392;81;379;130
26;"Miejska Szkoła Podstawowa Nr 15 im. Powstańców Śląskich, ul. Franciszka Kotuchy 40, 41-946 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;350;79;373;120
27;"Zespół Szkolno-Przedszkolny Nr 2, ul. Rycerska 15a, 41-948 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;372;112;377;140
28;"Zespół Szkolno-Przedszkolny Nr 2, ul. Rycerska 15a, 41-948 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;483;137;512;157
29;"Zakład Opiekuńczo-Leczniczy, ul. ks. Jana Ficka 1, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;20;1;1;0
30;"Dom Pomocy Społecznej, ul. Teodora Trautmana 4, 41-946 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;15;2;10;6
31;"Samodzielny Publiczny Wojewódzki Szpital Chirurgii Urazowej im. Dra J. Daaba, ul. Bytomska 62, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;24;11;30;7
32;"Szpital Miejski pw. Św. Łukasza, ul. Szpitalna 11, 41-940 Piekary Śląskie";247101;"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";1;1;26;1;17;4
1;"Szkoła Podstawowa nr 28, ul. Ryszarda Sprusa 4, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;262;82;259;119
2;"Szkoła Podstawowa nr 28, ul. Ryszarda Sprusa 4, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;173;60;162;88
3;"Szkoła Podstawowa Nr 41, ul. Jana Gierałtowskiego 15, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;301;111;446;191
4;"Szkoła Podstawowa Nr 41, ul. Jana Gierałtowskiego 15, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;187;78;293;121
5;"I Liceum Ogólnokształcące im. Adama Mickiewicza, ul. Adama Mickiewicza 15, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;183;57;280;108
6;"I Liceum Ogólnokształcące im. Adama Mickiewicza, ul. Adama Mickiewicza 15, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;221;64;228;89
7;"Młodzieżowy Dom Kultury, ul. Wincentego Janasa 28, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;239;86;326;164
8;"Szkoła Podstawowa Nr 3, ul. Cypriana Norwida 10, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;144;34;192;46
9;"Szkoła Podstawowa Nr 3, ul. Cypriana Norwida 10, 41-700 Ruda Śląska";247201;"m. Ruda Śląska";"Ruda Śląska";"śląskie";1;1;302;71;515;156
